score,MolW,cLogP,RotB
-62.9099,396.495,0.6102,3
-64.8199,387.505,2.8351,7
-61.8199,443.319,2.9012,7
-54.2699,391.371,2.3856,7
-48.6199,283.331,2.03828,3
-46.1101,361.486,3.5705,5
-52.0299,279.723,3.23074,4
-55.8402,353.43,1.2271,6
-62.2801,345.874,4.03252,5
-44.96,354.451,2.14,5
-49.2301,302.374,3.4402,6
-60.1102,351.357,1.599,6
-49.96,344.766,0.7771,3
-58.43,333.863,3.9466,5
-43.2601,342.421,0.6355,6
-50.4101,386.29,3.0617,2
-71.9799,481.519,2.5879,8
-71.6001,378.476,3.29552,8
-56.55,316.401,1.5791,5
-47.6599,321.299,1.6616,5
-59.97,408.568,1.93002,6
-62.9298,372.465,3.6181,6
-52.6799,329.437,2.7741,5
-43.2299,343.443,1.8865,2
-48.6,342.461,0.8385,3
-70.78,353.384,4.5682,7
-48.92,377.51,1.6378,4
-56.5701,330.775,3.31352,3
-59.1702,341.499,2.8141,5
-49.0599,321.751,3.6265,8
-51.8899,349.474,0.6122,6
-63.3902,396.419,2.6105,7
-52.6502,377.426,1.0006,4
-57.43,322.405,3.0111,3
-54.3102,400.497,2.04304,8
-69.1801,386.455,3.87172,6
-51.57,325.416,1.6177,3
-50.1601,304.434,3.15444,3
-57.2502,351.491,2.5393,9
-54.4398,356.403,2.5862,4
-64.8399,357.408,3.0767,6
-53.2901,393.241,3.78932,4
-53.3801,287.444,2.6931,6
-42.9501,219.671,3.568,1
-59.1898,449.33,3.1853,6
-61.2502,441.322,3.6956,2
-56.6902,428.533,3.6345,3
-54.65,384.38,0.91412,5
-57.2599,354.476,0.7023,6
-48.4199,345.38,2.6514,2
-45.3801,336.214,2.4611,2
-55.9499,379.463,1.4549,5
-57.8199,370.519,0.9178,6
-53.8899,347.437,0.5216,8
-44.8699,278.337,1.7662,2
-58.6301,398.554,1.7996,7
-57.2701,442.88,4.8461,3
-40.72,268.357,1.0248,2
-58.7201,339.391,3.1413,5
-57.77,330.428,2.89198,7
-59.45,354.422,2.0841,8
-51.65,389.227,2.1182,7
-62.7902,345.483,4.2872,6
-47.7401,347.436,1.3936,2
-66,438.483,4.592,3
-53.51,357.845,3.09788,5
-47.19,287.404,0.6722,5
-61.27,331.309,4.237,6
-66.4499,436.556,4.3226,9
