score,MolW,cLogP,RotB,MolW.scaled,cLogP.scaled,RotB.scaled
-56.6899,351.491,1.679,7,0.325236591792047,-0.643275844512046,1.17050104116387
-63.8899,385.399,1.2938,5,0.767946112344025,-0.917372286753609,0.147917890201714
-45.29,272.298,3.22292,1,-0.708722800123513,0.455330020248063,-1.89724841172261
-52.3901,421.457,4.1016,6,1.23872645598161,1.08057161388466,0.659209465682794
-67.9598,399.538,1.7606,8,0.952547678673046,-0.585211800672712,1.68179261664495
-71.7399,429.511,4.31202,4,1.34388106487997,1.23029999752035,-0.363373685279366
-62.64,357.328,3.8333,4,0.401445612420273,0.889657606996259,-0.363373685279366
-54.1899,381.27,3.6199,6,0.714037075822876,0.737808747249765,0.659209465682794
-58.3798,412.552,2.7337,10,1.12246102362006,0.107216153494642,2.70437576760711
-0.0666,84.3,4,1,-3.16326168312253,1.00827618675137,-1.89724841172261
-56.7999,299.418,3.79782,6,-0.354638743341348,0.864411133032784,0.659209465682794
-47.8199,356.325,1.6457,5,0.388350247045918,-0.66697109769648,0.147917890201714
-60.5499,393.915,3.8995,4,0.879132684156596,0.936763485699249,-0.363373685279366
-61.73,403.567,3.3127,7,1.00515109551579,0.519214699854625,1.17050104116387
-0.2709,100.09,4,2,-2.95710433590312,1.00827618675137,-1.38595683624153
-57.6599,340.345,3.5275,5,0.179712222437549,0.672059756431695,0.147917890201714
-49.3401,351.403,1.34242,6,0.324087646475055,-0.882775793966006,0.659209465682794
-56.0501,340.401,0.2595,6,0.180443369457453,-1.65334827380046,0.659209465682794
-58.5301,360.458,1.2458,5,0.442311508354204,-0.9515276066591,0.147917890201714
-54.0801,300.273,4.9502,4,-0.343475695091025,1.68440920704715,-0.363373685279366
-46.6399,348.384,1.28412,4,0.28467098838415,-0.924260276267883,-0.363373685279366
-60.0701,355.4,4.2073,3,0.376273265020715,1.15578447459321,-0.874665260760446
-58.81,387.929,3.0305,5,0.800978290207553,0.318409881576927,0.147917890201714
-49.4498,405.539,4.2887,5,1.03089791557385,1.2137062045996,0.147917890201714
-55.08,392.677,2.4654,7,0.862969112538,-0.083697853393757,1.17050104116387
-34.0101,195.266,0.2945,4,-1.71446775078884,-1.62844335303604,-0.363373685279366
-53.3101,326.487,2.8021,3,-0.001220552595167,0.155887484359967,-0.874665260760446
-62.2201,358.446,1.2859,9,0.416042440424789,-0.922993683154721,2.19308419212603
-50.77,283.416,0.744,5,-0.563564004278966,-1.30859301350442,0.147917890201714
-60.1302,365.433,3.2835,8,0.507266087354619,0.498436880245451,1.68179261664495
-57.8001,348.487,3.4691,7,0.286015776652902,0.630504117213349,1.17050104116387
-0.1209,90.9,9,3,-3.07709078434811,4.56612201023999,-0.874665260760446
-50.7402,354.41,3.7983,5,0.363347630204553,0.864752686231839,0.147917890201714
-61.35,359.411,1.7595,7,0.428641670321352,-0.58599452675388,1.17050104116387
-0.237,105.65,6,6,-2.88451188178407,2.43141451614682,0.659209465682794
-49.5001,347.379,0.12382,7,0.271549510616227,-1.74989397806665,1.17050104116387
-1.4516,76.34,2,1,-3.2671890095232,-0.414862142644077,-1.89724841172261
-48.9199,327.425,0.3268,3,0.011026159988228,-1.60545966901631,-0.874665260760446
-48.96,272.392,3.21222,5,-0.707495517625817,0.447716230185797,0.147917890201714
-62.48,317.454,3.942,7,-0.119157178145067,0.967005175198902,1.17050104116387
-51.6599,305.378,1.4405,3,-0.27682381050869,-0.812985090292453,-0.874665260760446
-58.45,320.437,2.136,6,-0.080210543138386,-0.318088736245187,0.659209465682794
-63.5699,395.419,2.8268,6,0.898769204119737,0.173463242728001,0.659209465682794
-57.82,351.451,0.3729,7,0.324714343920687,-1.57265633052374,1.17050104116387
-67.61,395.484,3.7327,4,0.899617856910697,0.818073749027668,-0.363373685279366
